api_uri,district,domain,facebook_account,facebook_id,first_name,id,last_name,middle_name,missed_votes_pct,party,rss_url,seniority,state,thomas_id,twitter_account,url,votes_with_party_pct
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000429.json,4,,,,John,D000429,Doolittle,T.,4.78,R,,16,CA,307,,,95.33
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000482.json,14,doyle.house.gov,usrepmikedoyle,79663724861,Mike,D000482,Doyle,,4.12,D,http://doyle.house.gov/rss.xml,12,PA,316,USRepMikeDoyle,http://doyle.house.gov/,91.84
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000492.json,26,,,,David,D000492,Dreier,,0.16,R,,26,CA,317,,,94.88
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000533.json,2,duncan.house.gov,CongressmanDuncan,102385999834718,John,D000533,Duncan Jr.,J.,2.55,R,http://duncan.house.gov/rss.xml,20,TN,322,,http://www.house.gov/duncan,84.87
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000597.json,1,,,,Jo Ann,D000597,Davis,S.,10.05,R,,6,VA,1672,,,89.10
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000598.json,53,house.gov/susandavis,RepSusanDavis,103767526332478,Susan,D000598,Davis,A.,2.97,D,,6,CA,1641,,http://www.house.gov/susandavis,94.65
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000599.json,4,,,,Lincoln,D000599,Davis,,2.22,D,,4,TN,1747,,,80.29
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000600.json,25,mariodiazbalart.house.gov,mdiazbalart,119538428117878,Mario,D000600,Diaz-Balart,,10.13,R,http://mariodiazbalart.house.gov/rss.xml,4,FL,1717,MarioDB,http://mariodiazbalart.house.gov/,92.30
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000602.json,7,,,,Artur,D000602,Davis,,1.98,D,,4,AL,1705,ArturDavis,,89.08
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000603.json,4,,,,Geoff,D000603,Davis,,1.73,R,,2,KY,1784,RepGeoffDavis,,92.88
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000604.json,15,dent.house.gov,CongressmanDent,69862092533,Charlie,D000604,Dent,,0.08,R,http://dent.house.gov/?a=RSS.Feed,2,PA,1799,,http://dent.house.gov/,90.27
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/D000605.json,2,,,,Thelma,D000605,Drake,D.,0.74,R,,2,VA,1808,,,95.93
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/E000063.json,17,,,,Chet,E000063,Edwards,,2.31,D,,16,TX,335,,,83.14
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/E000092.json,3,,,,Vernon,E000092,Ehlers,J.,1.48,R,,14,MI,339,,,85.87
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/E000172.json,8,,,,Jo Ann,E000172,Emerson,,3.54,R,,12,MO,1481,,,92.31
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/E000179.json,17,engel.house.gov,RepEliotLEngel,103355984852,Eliot,E000179,Engel,L.,2.72,D,http://engel.house.gov/rss/latest-news1.xml,18,NY,344,RepEliotEngel,http://www.house.gov/engel,94.33
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/E000187.json,3,,,,Phil,E000187,English,,2.31,R,,12,PA,347,,,92.33
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/E000215.json,14,eshoo.house.gov,RepAnnaEshoo,174979964227,Anna,E000215,Eshoo,G.,4.28,D,http://eshoo.house.gov/index.php?format=feed&amp;type=rss,14,CA,355,RepAnnaEshoo,http://eshoo.house.gov/,94.41
http://api.nytimes.com/svc/politics/v3/us/legislative/congress/members/E000226.json,2,,,,Bob,E000226,Etheridge,,1.48,D,,10,NC,1482,,,90.64
